exam,n,f2p_pass,p2p_pass,cost_usd,num_turns,wall_ms,canonical_model,permission_denials,touched_files,is_error,stop_reason
s3ctl,1,1,1,1.364847,39,206350,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,2,1,1,2.5033715,38,298041,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,3,1,1,1.8485680000000002,45,238056,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,4,1,1,1.9717765000000003,40,322200,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,5,1,1,1.7274722499999997,35,269515,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,6,1,1,2.773817250000001,43,350546,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,7,1,1,1.49176,37,247399,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,8,1,1,2.1725494999999997,42,319184,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,9,1,1,1.99615725,39,353933,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
s3ctl,10,1,1,1.83284025,37,285346,claude-haiku-4-5-20251001|claude-opus-4-8,0,11,0,end_turn
